UPC,Name,Link,Current Price,Regular Price,Sale Price
196019124728,Baby & Toddler Little Co. by Lauren Conrad Dolphin-Hem Swim Shorts,https://www.kohls.com/product/prd-5926113/baby-toddler-little-co-by-lauren-conrad-dolphin-hem-swim-shorts.jsp?color=Blue Green Colorblock&prdPV=109,24.00,32.00,24.00
400703250724,Baby & Toddler Little Co. by Lauren Conrad Organic Pocket Tank Dress,https://www.kohls.com/product/prd-5942786/baby-toddler-little-co-by-lauren-conrad-organic-pocket-tank-dress.jsp?color=Navy Shell Print&prdPV=110,13.20,22.00 Orig,13.20
400441385276,Girls 6-20 SO® Favorite Pocket Tee in Regular & Plus,https://www.kohls.com/product/prd-5273419/girls-6-20-so-favorite-pocket-tee-in-regular-plus.jsp?color=Black&prdPV=111,6.99,7.99,6.99
400704202388,Girls 4-12 Jumping Beans® Flutter Sleeve Dress,https://www.kohls.com/product/prd-5941267/girls-4-12-jumping-beans-flutter-sleeve-dress.jsp?color=Coral Floral&prdPV=112,9.99,22.00,9.99
196019175119,Disney's The Little Mermaid Toddler Girl Cascading Ruffle One-Piece Swimsuit by Jumping Beans®,https://www.kohls.com/product/prd-6008343/disneys-the-little-mermaid-toddler-girl-cascading-ruffle-one-piece-swimsuit-by-jumping-beans.jsp?prdPV=113,16.80,28.00,16.80
196027253335,"Disney's Minnie Mouse Toddler Girl ""Minnie Mouse"" 4-Piece Pajama Set",https://www.kohls.com/product/prd-6076598/disneys-minnie-mouse-toddler-girl-minnie-mouse-4-piece-pajama-set.jsp?prdPV=114,24.00,40.00,24.00
400196905095,Toddler Boy Jumping Beans® Flat Front Poplin Shorts,https://www.kohls.com/product/prd-5809672/toddler-boy-jumping-beans-flat-front-poplin-shorts.jsp?color=Morgan Blue&prdPV=115,8.99,16.00,8.99
196219587408,Boys 8-20 adidas Performance Shorts in Regular & Husky,https://www.kohls.com/product/prd-5805342/boys-8-20-adidas-performance-shorts-in-regular-husky.jsp?color=Better Scarlet&prdPV=116,14.99,20.00,14.99
400373128712,Toddler Boy Jumping Beans® French Terry Shorts,https://www.kohls.com/product/prd-5840382/toddler-boy-jumping-beans-french-terry-shorts.jsp?color=Awesome Dino Print&prdPV=119,6.99,12.00,6.99
400545889687,Baby & Toddler Little Co. by Lauren Conrad Hooded Cover-Up,https://www.kohls.com/product/prd-5817722/baby-toddler-little-co-by-lauren-conrad-hooded-cover-up.jsp?color=Soft Blue Ivory Stripe&prdPV=120,20.40,34.00 Orig,20.40
196601543333,Toddler Boy Under Armour Freedom Tee & Mesh Shorts Set,https://www.kohls.com/product/prd-5841490/toddler-boy-under-armour-freedom-tee-mesh-shorts-set.jsp?prdPV=121,24.00,40.00,24.00
400671313599,Girls 6-20 SO® Favorite Skort in Regular & Plus,https://www.kohls.com/product/prd-5273572/girls-6-20-so-favorite-skort-in-regular-plus.jsp?color=Navy&prdPV=122,12.99,16.99,12.99
400642032177,Girls 6-20 SO® French Terry Midi Shorts in Regular & Plus Size,https://www.kohls.com/product/prd-5860834/girls-6-20-so-french-terry-midi-shorts-in-regular-plus-size.jsp?color=Purple Marble&prdPV=123,9.99,20.00,9.99
